setting,round_index,tool_name,parse_valid,parse_error,validation_passed,freezeable,evidence_kind,failure_categories,required_atom_coverage,required_resource_binding_coverage,required_target_principal_coverage,unsafe_pre_allow_rate,false_deny_rate,coverage,decision_accuracy,n_cases,missing_required_atom_count,contract_hash,frozen_contract_hash
stub_harness,-1,forward_email,true,,true,true,not_llm_evidence,,1.000,1.000,1.000,0.000,0.000,0.929,1.000,7,0,952753f4c8f9560fa27c0712c1f1d14dc675bea7003b602ec2f913de9313a0d6,952753f4c8f9560fa27c0712c1f1d14dc675bea7003b602ec2f913de9313a0d6
stub_harness,-1,reply_all_email,true,,true,true,not_llm_evidence,,1.000,1.000,1.000,0.000,0.000,0.929,1.000,7,0,8907f1d393f4c3ce942b6e584952ccfa20075f080cc105f5d227e050a08f6d09,8907f1d393f4c3ce942b6e584952ccfa20075f080cc105f5d227e050a08f6d09
stub_harness,-1,schedule_email,true,,true,true,not_llm_evidence,,1.000,1.000,1.000,0.000,0.000,0.929,1.000,7,0,cbf62bbee1860a71d128be96a5f6bfe27bcc57fb7ebe4a1315a3565f1ed695ac,cbf62bbee1860a71d128be96a5f6bfe27bcc57fb7ebe4a1315a3565f1ed695ac
stub_harness,-1,send_sms,true,,true,true,not_llm_evidence,,1.000,1.000,1.000,0.000,0.000,0.900,1.000,5,0,3bdb41c706267b6051b2890d778f9589ccb1beb0ba57d22dcc2acb7a42becc16,3bdb41c706267b6051b2890d778f9589ccb1beb0ba57d22dcc2acb7a42becc16
stub_harness,-1,publish_doc,true,,true,true,not_llm_evidence,,1.000,1.000,1.000,0.000,0.000,0.929,1.000,7,0,07b26e24bd7f864e042062652d7f0127c7422a27fa3aea69c9d4aaeffde8a4f9,07b26e24bd7f864e042062652d7f0127c7422a27fa3aea69c9d4aaeffde8a4f9
stub_harness,-1,create_public_link,true,,true,true,not_llm_evidence,,1.000,1.000,1.000,0.000,0.000,0.929,1.000,7,0,647eaf3bce93cd84ba0d390fe928ac2a863c27c4b5518a5204aee2570d800cc6,647eaf3bce93cd84ba0d390fe928ac2a863c27c4b5518a5204aee2570d800cc6
stub_harness,-1,cancel_event,true,,true,true,not_llm_evidence,,1.000,1.000,1.000,0.000,0.000,0.917,1.000,6,0,bcf1dba03fbc528907c35b4c62cfa05568762e4de3468cfd7b1321e3930ccf72,bcf1dba03fbc528907c35b4c62cfa05568762e4de3468cfd7b1321e3930ccf72
stub_harness,-1,invite_group,true,,true,true,not_llm_evidence,,1.000,1.000,1.000,0.000,0.000,0.929,1.000,7,0,05f63e0afba035ce0ae7145bffb6386390ecdb17db56e2969c4924b0bf975890,05f63e0afba035ce0ae7145bffb6386390ecdb17db56e2969c4924b0bf975890
stub_harness,-1,approve_workflow,true,,true,true,not_llm_evidence,,1.000,1.000,1.000,0.000,0.000,0.917,1.000,6,0,93e3a2b5e65b933cb87eca3c812bff53bcff90856e5e442889c840bbb4ed1dc3,93e3a2b5e65b933cb87eca3c812bff53bcff90856e5e442889c840bbb4ed1dc3
stub_harness,-1,add_slack_user,true,,true,true,not_llm_evidence,,1.000,1.000,1.000,0.000,0.000,0.917,1.000,6,0,e2a3cc062c94d5864017df5d7c34573f8656aa2ff7157356d4ba02875ae8733b,e2a3cc062c94d5864017df5d7c34573f8656aa2ff7157356d4ba02875ae8733b
