claim_id,paper_location,value,numerator,denominator,source,key,generator,status
PREVALENCE-EFFECTFUL,Results / prevalence table,0.2949852507374631,100,339,experiments/human-authority-and-causal-validation/results/agentdojo-tool-effect-prevalence/agentdojo-tool-effect-prevalence-report.json,prevalence.effectful_call_rate_all_calls,run_agentdojo_tool_effect_prevalence.py,verified
PREVALENCE-COMPOUND,Results / prevalence table,0.17,17,100,experiments/human-authority-and-causal-validation/results/agentdojo-tool-effect-prevalence/agentdojo-tool-effect-prevalence-report.json,prevalence.compound_rate_effectful_calls,run_agentdojo_tool_effect_prevalence.py,verified
PREVALENCE-HETEROGENEOUS,Results / prevalence table,0.13,13,100,experiments/human-authority-and-causal-validation/results/agentdojo-tool-effect-prevalence/agentdojo-tool-effect-prevalence-report.json,prevalence.heterogeneous_rate_effectful_calls,run_agentdojo_tool_effect_prevalence.py,verified
PREVALENCE-MULTI-TARGET,Results / prevalence table,0.07,7,100,experiments/human-authority-and-causal-validation/results/agentdojo-tool-effect-prevalence/agentdojo-tool-effect-prevalence-report.json,prevalence.multi_target_rate_effectful_calls,run_agentdojo_tool_effect_prevalence.py,verified
PREVALENCE-CROSS-SUBSYSTEM,Results / prevalence table,0.13,13,100,experiments/human-authority-and-causal-validation/results/agentdojo-tool-effect-prevalence/agentdojo-tool-effect-prevalence-report.json,prevalence.cross_namespace_rate_effectful_calls,run_agentdojo_tool_effect_prevalence.py,verified
BINDING-TOOL-NAME-EFFECT,Results / binding-problem table,0.0,,,experiments/binding-failure-and-granularity/results/hard-guard-granularity-stress/same-core-comparisons.json,existing_e47_rows[method=tool_name_rule_proxy].effect_sensitivity,run_hard_guard_robustness.py,verified
BINDING-TOOL-NAME-AUTH,Results / binding-problem table,0.0,,,experiments/binding-failure-and-granularity/results/hard-guard-granularity-stress/same-core-comparisons.json,existing_e47_rows[method=tool_name_rule_proxy].authorization_sensitivity,run_hard_guard_robustness.py,verified
BINDING-TOOL-NAME-RESOURCE,Results / binding-problem table,0.0,,,experiments/binding-failure-and-granularity/results/hard-guard-granularity-stress/same-core-comparisons.json,existing_e47_rows[method=tool_name_rule_proxy].resource_awareness,run_hard_guard_robustness.py,verified
BINDING-TOOL-NAME-UPA,Results / binding-problem table,0.2916666666666667,,,experiments/binding-failure-and-granularity/results/hard-guard-granularity-stress/same-core-comparisons.json,existing_e47_rows[method=tool_name_rule_proxy].unsafe_pre_allow,run_hard_guard_robustness.py,verified
BINDING-QWEN-EFFECT,Results / binding-problem table,0.6666666666666666,,,experiments/binding-failure-and-granularity/results/hard-guard-granularity-stress/same-core-comparisons.json,existing_e47_rows[method=local_qwen_self_audit].effect_sensitivity,run_hard_guard_robustness.py,verified
