claim_id,paper_location,claim_text,claim_type,result_source,result_key,code_source,test_source,status,issue,recommended_fix
C01,"abstract.tex:2; introduction.tex:19; tool_effect_binding.tex","Defines tool-effect binding as pre-commit binding to effect/resource/operation/authorization/provenance","method/claim-boundary","method_materials/writing_package_e58/03_method_definition.md; method_materials/writing_package_e58/08_claim_boundary.md","N/A","code/src/experiments/effect_binding_guard/schema.py; code/src/experiments/effect_binding_guard/e55_precommit_authz/schemas.py","N/A","OK","Conceptual claim; no single numeric artifact expected","Keep as method framing"
C02,"abstract.tex:4; counterfactual_framework.tex:19","E48 has 822 rows and 6840 pairwise relations","numeric","results/analysis/results/e48_tuple_guard_results.json","manifest.n_rows; manifest.n_pairs","code/src/experiments/effect_binding_guard/dataset.py; run_e48.py; pairwise.py","tests/tests/test_effect_binding_guard_e48.py","结果可追溯但代码链不足","JSON matches; live test fails because consolidated package stores results under results/analysis/results not tests/analysis/results","Add package-layout reproduction shim or run from original repo layout"
C03,"abstract.tex:4; results.tex:13; table2_reference_guard.tex","E48 hard guard coverage 0.917 UPA 0.036 FDeny 0.065","numeric","results/analysis/results/e48_tuple_guard_results.json","methods.effect_binding_guard_full.overall","code/src/experiments/effect_binding_guard/run_e48.py; guards.py; metrics.py","tests/tests/test_effect_binding_guard_e48.py","OK","Package path repaired; E48 tests and result rerun pass; pair CI uses split groups","Keep controlled custom-stress boundary"
C04,"results.tex:13; table2_reference_guard.tex","E48 held-out and E50 source-balanced metrics match table","numeric","e48_tuple_guard_results.json; e50_hard_guard_robustness_results.json","methods.effect_binding_guard_full.by_split.test; source_balanced.aggregate_fixed_policy","run_e48.py; run_e50.py","test_effect_binding_guard_e48.py; test_effect_binding_guard_e50.py","OK","Values match live-rerun JSON","None"
C05,"abstract.tex:4; results.tex:19; table3_bottleneck.tex","E50 resource/auth stress UPA 0.383 at coverage 0.921","numeric","results/analysis/results/e50_hard_guard_robustness_results.json","resource_authorization_stress.methods.effect_binding_guard_full.overall","code/src/experiments/effect_binding_guard/run_e50.py","tests/tests/test_effect_binding_guard_e50.py","OK after repair","Prior 0.617 construction was inconsistent; repaired result is 46/120","Use only corrected result and policy-oracle artifact"
C06,"results.tex:19; table3_bottleneck.tex","E50 provenance stress UPA 0.000 FDeny 0.188 coverage 0.545","numeric","results/analysis/results/e50_hard_guard_robustness_results.json","control_provenance_stress.methods.effect_binding_guard_full.overall","code/src/experiments/effect_binding_guard/run_e50.py","tests/tests/test_effect_binding_guard_e50.py","OK","Live rerun and package tests pass","Keep controlled-stress boundary"
C07,"table1_existing_methods.tex; results.tex:7","E47/custom-stress method capability matrix values","numeric","results/analysis/results/tool_effect_fragmentation_capability_matrix_phase6.json","main_matrix method rows","code/src/experiments/tool_effect_fragmentation/run_tool_effect_fragmentation_phase4.py; phase4_inference.py; run_tool_effect_fragmentation_phase6.py","tests/tests/test_tool_effect_fragmentation_*","OK with claim boundary","Released checkpoints ran on custom stress; sampled audit is not full audit","Do not call it original benchmark reproduction"
C08,"experimental_setup.tex:7; discussion.tex:13; table1 caption","Released checkpoints are evaluated on custom stress not original-paper reproduction","claim-boundary","tables/tables/official_checkpoint_summary.md","boundary column","phase3_official_stress.py; phase4_inference.py; phase4_metrics.py","test_tool_effect_fragmentation_phase3.py; phase4.py","OK","Wording is appropriately bounded","Keep boundary wording"
C09,"experimental_setup.tex:4; appendix/reproduction_notes.tex:10","Package has 2424 copied files two missing expected dirs no core-number issues","experiment setup","PACKAGE_SUMMARY.md; MISSING_FILES.md","counts and core-number issues","code/scripts/build_mainline_tool_effect_binding_package.py; build_e58_consolidated_package.py","N/A","OK","Matches package metadata","No action"
C10,"experimental_setup.tex:13; table3_bottleneck.tex","E50 resource/auth stress has 240 rows and provenance stress has 336 rows","numeric","results/analysis/results/e50_hard_guard_robustness_results.json","resource_authorization_stress.n_rows; control_provenance_stress.n_rows","code/src/experiments/effect_binding_guard/run_e50.py","tests/tests/test_effect_binding_guard_e50.py","结果可追溯但代码链不足","Source values exact; E50 test path issue","Document path issue"
C11,"abstract.tex:6; experimental_setup.tex:16; table4_precommit.tex","E55-v2 is main pre-commit result over 600 rows and five domains","numeric/setup","audit/analysis/results/e55_v2_precommit_authz_results_strict.json","dataset.n_rows; dataset.domain_counts","e55_precommit_authz/run_e55.py; dataset_builder.py","test_effect_binding_guard_e55_precommit_authz.py","OK","Targeted E55/E56/E57 tests passed","No action"
C12,"abstract.tex:6; results.tex:25; table4_precommit.tex","E55-v2 existing hard guard coverage 0.200 abstain 0.800 UPA 12/276","numeric","audit/analysis/results/e55_v2_precommit_authz_results_strict.json","methods.existing_hard_effect_binding_guard.overall","run_e55.py; guards.py; metrics.py","test_effect_binding_guard_e55_precommit_authz.py","OK","Exact values","No action"
C13,"abstract.tex:6; results.tex:25; table4_precommit.tex","E55-v2 authz-aware coverage 528/600 UPA 0/276 FDeny 0/252","numeric","audit/analysis/results/e55_v2_precommit_authz_results_strict.json","methods.authz_aware_effect_binding_guard.overall","run_e55.py; atom_expansion.py; authz_model.py; guards.py; metrics.py","test_effect_binding_guard_e55_precommit_authz.py","OK","Exact values; tests pass","No action"
C14,"results.tex:25; table4_precommit.tex","Original E55 strict coverage 0.920 zero UPA zero FDeny","numeric","results/analysis/results/e55_precommit_authz_results_strict.json","methods.authz_aware_effect_binding_guard.overall","e56_audit.py; run_e55.py","test_effect_binding_guard_e55_precommit_authz.py; test_effect_binding_guard_e56_audit.py","OK","Correctly labeled original E55","No action"
C15,"abstract.tex:6; results.tex:25; table4_precommit.tex","Human-corrected sensitivity UPA 0/320 FDeny 4/230 coverage 0.920","numeric/audit","results/analysis/results/e55_human_corrected_sensitivity.json","full_600_minimal_correction.minimal_human_corrected_labels.authz_aware_effect_binding_guard","e55_human_corrected_sensitivity.py","E57 human audited packet artifact","OK","Exact values","No action"
C16,"results.tex:31; table5_ablation.tex","Original E55 strict ablation values 0.333 0.148 0.148 0.211","numeric/ablation","results/analysis/results/e55_precommit_authz_results_strict.json","methods.authz_aware_no_*","e56_audit.py; run_e55.py","test_effect_binding_guard_e55_precommit_authz.py","需用户确认","Numbers exact and table labels original E55; canonical ablation version remains open","Confirm whether to keep original E55 ablations or replace with E55-v2"
C17,"appendix/additional_tables.tex:30-33","E55-v2 ablation note values 0.217 0.217 0.217 0.238","numeric/ablation","audit/analysis/results/e55_v2_precommit_authz_results_strict.json","methods.authz_aware_no_*","run_e55.py --corrected-v2","test_effect_binding_guard_e55_precommit_authz.py","OK","Exact values used as version warning","No action"
C18,"atoms.tex:5-44; authz_prototype.tex:7-14","Tool calls expand into atoms and decisions use authorization/provenance checks","method mechanism","paper_drafts/e55_precommit_authz/e55_authorization_model.md; E55 result artifacts","N/A","atom_expansion.py; authz_model.py; guards.py; schemas.py","test_effect_binding_guard_e55_precommit_authz.py","OK","Code implements abstraction","No action"
C19,"counterfactual_framework.tex:21-25; experimental_setup.tex:18-19","UPA FDeny and coverage definitions match code","metric definition","E48/E55 metrics artifacts","unsafe_pre_allow; safe_false_deny; coverage","effect_binding_guard/metrics.py; e55_precommit_authz/metrics.py","E48/E55 tests","OK","Code definitions align","No action"
C20,"table6_audit_validity.tex:10; appendix/audit_details.tex:3-4","E55-v2 leakage audit is leakage-free","audit/validity","audit/analysis/results/e55_v2_precommit_authz_leakage_audit.json","leakage_free","leakage_audit.py; run_e55.py","test_effect_binding_guard_e55_precommit_authz.py","OK","Exact","No action"
