claim_id,paper_location,value,numerator,denominator,source,key,generator,status
AUTHORITY-REGISTRATION-CONTEXTS,Evaluation and Results / explicit authority,384,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,registration.n_contexts,shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-REGISTRATION-PAIRS,Evaluation and Results / explicit authority,192,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,registration.n_pairs,shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-REGISTRATION-SENSITIVE-PAIRS,Evaluation and Results / explicit authority,168,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,registration.effective_sensitive_pairs,shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-REGISTRATION-INVARIANT-PAIRS,Evaluation and Results / explicit authority,24,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,registration.surface_invariant_pairs,shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-EVALUATION-DOMAINS,Evaluation and Results / explicit authority,4,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,evaluation.n_domains,shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-EVALUATION-TOOLS,Evaluation and Results / explicit authority,4,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,evaluation.n_tools,shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-EVALUATION-CONTEXTS,Evaluation and Results / explicit authority,1024,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,evaluation.n_contexts,shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-EVALUATION-EXACT-MATCHES,Evaluation and Results / explicit authority,1024,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,evaluation.descriptor_exact_matches,shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-TOOL_NAME-UPA,Results / explicit-authority table,0.0,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,"direct_metrics[representation=tool_name,stratum=all].unsafe_pre_allow",shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-TOOL_NAME-COVERAGE,Results / explicit-authority table,0.0,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,"direct_metrics[representation=tool_name,stratum=all].coverage",shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-TOOL_NAME-EXACT,Results / explicit-authority table,0.0,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,"direct_metrics[representation=tool_name,stratum=all].decision_accuracy",shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-TOOL_NAME-AUTHORIZED-WITHHELD,Results / explicit-authority table,1.0,240,240,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/authorization-decisions.jsonl,"rows[representation=tool_name,ideal_decision=ALLOW,monitor_decision!=ALLOW]",shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-TOOL_NAME-MIXED-CELLS,Results / explicit-authority table,4,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,collision_metrics[representation=tool_name].n_mixed_cells,shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-TOOL_NAME-ERROR-LOWER-BOUND,Results / explicit-authority table,240,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,collision_metrics[representation=tool_name].minimum_unavoidable_errors,shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-TOOL_NAME-STATE-COLLISIONS,Results / state-dependent authorization,52,52,52,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,state_dependent.representations.tool_name.colliding_groups,shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-CANONICAL_RAW_ARGUMENTS-UPA,Results / explicit-authority table,0.011479591836734694,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,"direct_metrics[representation=canonical_raw_arguments,stratum=all].unsafe_pre_allow",shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-CANONICAL_RAW_ARGUMENTS-COVERAGE,Results / explicit-authority table,0.99609375,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,"direct_metrics[representation=canonical_raw_arguments,stratum=all].coverage",shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-CANONICAL_RAW_ARGUMENTS-EXACT,Results / explicit-authority table,0.8720703125,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,"direct_metrics[representation=canonical_raw_arguments,stratum=all].decision_accuracy",shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-CANONICAL_RAW_ARGUMENTS-AUTHORIZED-WITHHELD,Results / explicit-authority table,0.5041666666666667,121,240,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/authorization-decisions.jsonl,"rows[representation=canonical_raw_arguments,ideal_decision=ALLOW,monitor_decision!=ALLOW]",shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-CANONICAL_RAW_ARGUMENTS-MIXED-CELLS,Results / explicit-authority table,51,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,collision_metrics[representation=canonical_raw_arguments].n_mixed_cells,shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-CANONICAL_RAW_ARGUMENTS-ERROR-LOWER-BOUND,Results / explicit-authority table,64,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,collision_metrics[representation=canonical_raw_arguments].minimum_unavoidable_errors,shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-CANONICAL_RAW_ARGUMENTS-STATE-COLLISIONS,Results / state-dependent authorization,52,52,52,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,state_dependent.representations.canonical_raw_arguments.colliding_groups,shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-COMMON_EFFECT_FIELDS-UPA,Results / explicit-authority table,0.0,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,"direct_metrics[representation=common_effect_fields,stratum=all].unsafe_pre_allow",shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-COMMON_EFFECT_FIELDS-COVERAGE,Results / explicit-authority table,0.8095703125,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,"direct_metrics[representation=common_effect_fields,stratum=all].coverage",shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-COMMON_EFFECT_FIELDS-EXACT,Results / explicit-authority table,0.8095703125,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,"direct_metrics[representation=common_effect_fields,stratum=all].decision_accuracy",shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-COMMON_EFFECT_FIELDS-AUTHORIZED-WITHHELD,Results / explicit-authority table,0.32916666666666666,79,240,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/authorization-decisions.jsonl,"rows[representation=common_effect_fields,ideal_decision=ALLOW,monitor_decision!=ALLOW]",shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-COMMON_EFFECT_FIELDS-MIXED-CELLS,Results / explicit-authority table,9,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,collision_metrics[representation=common_effect_fields].n_mixed_cells,shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-COMMON_EFFECT_FIELDS-ERROR-LOWER-BOUND,Results / explicit-authority table,24,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,collision_metrics[representation=common_effect_fields].minimum_unavoidable_errors,shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-COMMON_EFFECT_FIELDS-STATE-COLLISIONS,Results / state-dependent authorization,0,0,52,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,state_dependent.representations.common_effect_fields.colliding_groups,shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-VALIDATED_TYPED_EFFECTS-UPA,Results / explicit-authority table,0.0,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,"direct_metrics[representation=validated_typed_effects,stratum=all].unsafe_pre_allow",shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-VALIDATED_TYPED_EFFECTS-COVERAGE,Results / explicit-authority table,1.0,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,"direct_metrics[representation=validated_typed_effects,stratum=all].coverage",shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-VALIDATED_TYPED_EFFECTS-EXACT,Results / explicit-authority table,1.0,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,"direct_metrics[representation=validated_typed_effects,stratum=all].decision_accuracy",shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-VALIDATED_TYPED_EFFECTS-AUTHORIZED-WITHHELD,Results / explicit-authority table,0.0,0,240,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/authorization-decisions.jsonl,"rows[representation=validated_typed_effects,ideal_decision=ALLOW,monitor_decision!=ALLOW]",shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-VALIDATED_TYPED_EFFECTS-MIXED-CELLS,Results / explicit-authority table,0,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,collision_metrics[representation=validated_typed_effects].n_mixed_cells,shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
AUTHORITY-VALIDATED_TYPED_EFFECTS-ERROR-LOWER-BOUND,Results / explicit-authority table,0,,,experiments/human-authority-and-causal-validation/results/protocol-separated-authority-representation/report.json,collision_metrics[representation=validated_typed_effects].minimum_unavoidable_errors,shared/compatibility/scripts/independent_authority_benchmark/run_experiment.py,verified
