claim_id,metric,value,source,key,paper_location,status
E47-TOOL-EFFECT_SENSITIVITY,effect_sensitivity,0.0,experiments/binding-failure-and-granularity/results/cross-method-binding-stress/tool-effect-fragmentation-capability-matrix-phase6.json,main_matrix[method=tool_name_rule_proxy].effect_sensitivity,Results / controlled problem characterization table,verified
E47-TOOL-AUTHORIZATION_SENSITIVITY,authorization_sensitivity,0.0,experiments/binding-failure-and-granularity/results/cross-method-binding-stress/tool-effect-fragmentation-capability-matrix-phase6.json,main_matrix[method=tool_name_rule_proxy].authorization_sensitivity,Results / controlled problem characterization table,verified
E47-TOOL-RESOURCE_AWARENESS,resource_awareness,0.0,experiments/binding-failure-and-granularity/results/cross-method-binding-stress/tool-effect-fragmentation-capability-matrix-phase6.json,main_matrix[method=tool_name_rule_proxy].resource_awareness,Results / controlled problem characterization table,verified
E47-TOOL-UNSAFE_PRE_ALLOW,unsafe_pre_allow,0.2916666666666667,experiments/binding-failure-and-granularity/results/cross-method-binding-stress/tool-effect-fragmentation-capability-matrix-phase6.json,main_matrix[method=tool_name_rule_proxy].unsafe_pre_allow,Results / controlled problem characterization table,verified
E47-TOOL-SAFE_FALSE_DENY,safe_false_deny,0.7083333333333334,experiments/binding-failure-and-granularity/results/cross-method-binding-stress/tool-effect-fragmentation-capability-matrix-phase6.json,main_matrix[method=tool_name_rule_proxy].safe_false_deny,Results / controlled problem characterization table,verified
E47-QWEN-EFFECT_SENSITIVITY,effect_sensitivity,0.6666666666666666,experiments/binding-failure-and-granularity/results/cross-method-binding-stress/tool-effect-fragmentation-capability-matrix-phase6.json,main_matrix[method=local_qwen_self_audit].effect_sensitivity,Results / controlled problem characterization table,verified
E47-QWEN-AUTHORIZATION_SENSITIVITY,authorization_sensitivity,0.5648148148148148,experiments/binding-failure-and-granularity/results/cross-method-binding-stress/tool-effect-fragmentation-capability-matrix-phase6.json,main_matrix[method=local_qwen_self_audit].authorization_sensitivity,Results / controlled problem characterization table,verified
E47-QWEN-RESOURCE_AWARENESS,resource_awareness,0.29166666666666663,experiments/binding-failure-and-granularity/results/cross-method-binding-stress/tool-effect-fragmentation-capability-matrix-phase6.json,main_matrix[method=local_qwen_self_audit].resource_awareness,Results / controlled problem characterization table,verified
E47-QWEN-UNSAFE_PRE_ALLOW,unsafe_pre_allow,0.003787878787878788,experiments/binding-failure-and-granularity/results/cross-method-binding-stress/tool-effect-fragmentation-capability-matrix-phase6.json,main_matrix[method=local_qwen_self_audit].unsafe_pre_allow,Results / controlled problem characterization table,verified
E47-QWEN-SAFE_FALSE_DENY,safe_false_deny,0.481060606060606,experiments/binding-failure-and-granularity/results/cross-method-binding-stress/tool-effect-fragmentation-capability-matrix-phase6.json,main_matrix[method=local_qwen_self_audit].safe_false_deny,Results / controlled problem characterization table,verified
E47-TSGUARD-EFFECT_SENSITIVITY,effect_sensitivity,0.625,experiments/binding-failure-and-granularity/results/cross-method-binding-stress/tool-effect-fragmentation-capability-matrix-phase6.json,main_matrix[method=ts_guard_official_counterfactual_stress].effect_sensitivity,Results / controlled problem characterization table,verified
E47-TSGUARD-AUTHORIZATION_SENSITIVITY,authorization_sensitivity,0.7638888888888888,experiments/binding-failure-and-granularity/results/cross-method-binding-stress/tool-effect-fragmentation-capability-matrix-phase6.json,main_matrix[method=ts_guard_official_counterfactual_stress].authorization_sensitivity,Results / controlled problem characterization table,verified
